2025-05-01 16:20,Deciphering of intra-tumoural heterogeneity and the interplay between metastasis-associated meta-program and myofibroblasts in gastric cancer.,"Wu X, Jin Z, Li B, Lu Y, Hou J, Yao L, Yu Z, Sang Q, Yu B, Li J, Li C, Yan C, Zhu Z, Tang K, Liu B, Su L.",MED,2025-05-01,,"Gastric cancer (GC) exhibits high heterogeneity that relies on the oncogenic properties of cancer cells and multicellular interactions in the tumour microenvironment. However, the heterogeneity of GC and their molecular characteristics are still largely unexplored.We employed single-cell and spatial transcriptomics to comprehensively map the intra-tumoural heterogeneity within GC. Additionally, in vitro experiments, clinical sample analyses, and patient-derived organoid models (PDOs) were conducted to validate the key interaction patterns between tumor cells and stromal cells.Seven robust meta-programs (MP1-MP7) in GC were defined with distinct biological significance and spatial distributions. MP3 and MP4 were intimately associated with distinct CD8 T cells skewed toward a cytotoxic or exhaustion state, while MP7, characterised by the highest degree of malignancy, harboured an immune lockdown microenvironment around it and spatially associated with myofibroblasts (myCAFs). Notably, we clarified the interplay between the MP7 and myCAFs, where MP7 induces the chemotactic migration of fibroblasts and promoting their transformation into myCAFs via GDF15/TGFBR2, and in turn, myCAFs-derived RSPO3 up-regulates EGR1 to promote the transformation to MP7 in GC cells and human PDOs. Ultimately, the accumulation of myCAFs around MP7 led to fewer infiltration of CD8 T cells, resulting an immune-deprived microenvironment and the diminished efficacy of immunotherapy. Additionally, based on the gene expression signatures of MP7 GC cells, we predicted specific drugs and verified more potent inhibitory effects of Taselisib and Lapatinib for MP7 GC cells than conventional drugs at the same concentration.Taken together, these results deepened the understanding of GC heterogeneity and paved the way for novel therapeutic strategies by targeting MP7 GC cells and their interaction loop with myCAFs in GC treatment.Seven robust meta-programs (MP1-MP7) were identified in gastric cancer. MP7 was strongly correlated with cancer metastasis and poor survival of gastric cancer patients. MP7 promoted fibroblast transformation into myCAFs via GDF15/TGFBR2, creating an immune lockdown microenvironment. MyCAFs induced MP7 transformation via the RSPO3/EGR1 pathway, promoting gastric cancer cell migration. Taselisib and Lapatinib were potent inhibitors of MP7 GC cells.",https://pubmed.ncbi.nlm.nih.gov/40292733/,"bioinformatics, genomics, pan-genomics, pan-transcriptomics"
2025-05-01 16:20,af3cli: Streamlining AlphaFold3 Input Preparation.,"Philipp Döpner, Stefan Kemnitz, Mark Doerr, Lukas Schulig",PubMed,2025-04-09,,"With the release of AlphaFold3, modeling capabilities have expanded beyond protein structure prediction to embrace the inherent complexity of biomolecular systems, including nucleic acids, ions, small molecules, and their interactions. The increased complexity of these assemblies is reflected in the input file generation process, presenting a significant hurdle for researchers without advanced computational expertise. While AlphaFold Server comes with a user-friendly graphical user interface, it supports only a subset of the features of AlphaFold3. To address this, we present af3cli, an open-source tool designed to facilitate the generation of AlphaFold3 input files, specifically tailored to the standalone version of AlphaFold3 and its unrestricted functionality. Featuring a user-friendly command-line interface and an accompanying Python library, af3cli simplifies the input generation process while maintaining flexibility and customization, which makes af3cli especially useful for fast (automated) generation of a large number of input files since it enables direct incorporation of FASTA files, keeps track of IDs, and validates the JSON file. Through practical examples, we demonstrate its capabilities for constructing input data for diverse biological structures, ranging from simple proteins to complex systems, and demonstrate its seamless integration into both manual and automated workflows.",https://pubmed.ncbi.nlm.nih.gov/40202494/,"bioinformatics, workflow, automated"
2025-05-01 16:20,"Development and thorough evaluation of a multi-omics sample preparation workflow for comprehensive LC-MS/MS-based metabolomics, lipidomics and proteomics datasets.","Lana Brockbals, Maiken Ueland, Shanlin Fu, Matthew P Padula",PubMed,2024-12-24,,"The importance of sample preparation selection if often overlooked particularly for untargeted multi-omics approaches that gained popularity in recent years. To minimize issues with sample heterogeneity and additional freeze-thaw cycles during sample splitting, multiple -omics datasets (e.g. metabolomics, lipidomics and proteomics) should ideally be generated from the same set of samples. For sample extraction, commonly biphasic organic solvent systems are used that require extensive multi-step protocols. Individual studies have recently also started to investigate monophasic (all-in-one) extraction procedures. The aim of the current study was to develop and systematically compare ten different mono- and biphasic extraction solvent mixtures for their potential to aid in the most comprehensive metabolomics, lipidomics and proteomics datasets. As the focus was on human postmortem tissue samples (muscle and liver tissue), four tissue homogenization parameters were also evaluated. Untargeted liquid chromatography mass spectrometry-based metabolomics, lipidomic and proteomics methods were utilized along with 1D sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE) and bicinchoninic acid (BCA) assay results. Optimal homogenization was found to be achieved by bead-homogenizing 20 mg of muscle or liver tissue with 200 μL (1:10 ratio) Water:Methanol (1:2) using 3 × 30 s pulses. The supernatant of the homogenate was further extracted. Comprehensive ranking, taking nine different processing parameters into account, showed that the monophasic extraction solvents, overall, showed better scores compared to the biphasic solvent systems, despite their recommendation for one or all of the -omics extractions. The optimal extraction solvent was found to be Methanol:Acetone (9:1), resulting in the most comprehensive metabolomics, lipidomics and proteomics datasets, showing the potential to be automated, hence, allowing for high-throughput analysis of samples and opening the door for comprehensive multi-omics results from routine clinical cases in the future.",https://pubmed.ncbi.nlm.nih.gov/39740651/,"bioinformatics, workflow, automated"
2025-05-01 16:20,"LipidCruncher: An open-source web application for processing, visualizing, and analyzing lipidomic data","Abdi, H., Ambaw, Y., Chitraju, C., Singh, S., Zon, W. L., Farese, R., Walther, T. C.",bioRxiv,2025-05-01,,"Advances in mass spectrometry (MS)-based lipidomics have led to a surge in data volume, underscoring a need for robust tools to evaluate and visualize these data comprehensively. Current workflows are often hampered by manual spreadsheet handling and insufficient assessment of data quality prior to analysis. Here, we introduce LipidCruncher, an open-source, web-based platform designed to process, visualize, and analyze lipidomic data with high efficiency and rigor. LipidCruncher consolidates key steps of the workflow, including data standardization, normalization, and stringent quality control to identify anomalies. The platform also provides advanced visualization and analysis tools, such as volcano plots, lipid saturation profiles, pathway mapping, and lipid heatmaps, that enable detailed and holistic data exploration. To demonstrate LipidCruncher utility, we analyzed lipidomic data from adipose tissue of mice lacking the triacylglycerol synthesis enzymes DGAT1 and DGAT2. We anticipate that LipidCruncher will be a valuable and user-friendly tool for standardizing and analyzing lipidomics data.",https://www.biorxiv.org/content/10.1101/2025.04.28.650893v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,Cellpose-SAM: superhuman generalization for cellular segmentation,"Pachitariu, M., Rariden, M., Stringer, C.",bioRxiv,2025-05-01,,"Modern algorithms for biological segmentation can match inter-human agreement in annotation quality. This however is not a performance bound: a hypothetical human-consensus segmentation could reduce error rates in half. To obtain a model that generalizes better we adapted the pretrained transformer backbone of a foundation model (SAM) to the Cellpose framework. The resulting Cellpose-SAM model substantially outperforms inter-human agreement and approaches the human-consensus bound. We increase generalization performance further by making the model robust to channel shuffling, cell size, shot noise, downsampling, isotropic and anisotropic blur. The new model can be readily adopted into the Cellpose ecosystem which includes finetuning, human-in-the-loop training, image restoration and 3D segmentation approaches. These properties establish Cellpose-SAM as a foundation model for biological segmentation.",https://www.biorxiv.org/content/10.1101/2025.04.28.651001v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,SquiDBase: a community resource of raw nanopore data from microbes,"Cuypers, W. L., Ceylan, H., Turcksin, E., Raes, L., de Vrij, N., Michiels, J., Coppens, S., de Block, T., Jansen, D., Arien, K. K., Selhorst, P., Vercauteren, K., Gauglitz, J. M., Bittremieux, W., Laukens, K.",bioRxiv,2025-05-01,,"Experimental data-driven research relies on raw data, which consist of unprocessed experimental outputs, whereas derived data are transformed through a number of processing steps to reveal specific insights. Such processing, however, can potentially introduce biases or information loss, compromising transparency and reproducibility. In nucleic acid sequencing, nucleotide sequences stored in the FASTQ format are widely shared, but FASTQ files are generated from platform-specific raw data outputs, which vary depending on the sequencing platform used. The raw data produced by Oxford Nanopore Technologies (ONT) sequencing devices contain valuable biological information and are also useful to improve data processing methods, which includes basecaller optimisation and modification detection. Increasing attention goes to exploring these raw signals to develop algorithms that could improve ONT device portability and enhance target enrichment efficiency through adaptive sampling. Despite these benefits, the storage and sharing of raw nanopore data remain limited due to technical constraints and the lack of appropriate, standardised and centralised infrastructure. To address this challenge, we developed SquiDBase (https://squidbase.org), a dedicated repository to collect raw microbial nanopore sequencing data. To maximise the utility of SquiDBase from its inception, we built SquiDPipe, a Nextflow pipeline for the automated removal of human or unwanted reads from raw nanopore data. Additionally, we sequenced 24 clinically relevant viruses and incorporated them into SquiDBase, significantly expanding the diversity of publicly available reference datasets. By offering a centralised, open-access raw data collection platform, SquiDBase facilitates data sharing, enhances reproducibility, and supports the development and benchmarking of novel computational tools, reinforcing open science in nanopore sequencing research.",https://www.biorxiv.org/content/10.1101/2025.04.28.650941v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,Variant Classification Using Proteomics-Informed Large Language Models Increases Power of Rare Variant Association Studies and Enhances Target Discovery,"Gillies, C. E., Mbatchou, J., Habegger, L., Kessler, M. D., Bao, S., Balasubramanian, S., Delaneau, O., Kosmicki, J. A., Regeneron Genetics Center,, Willer, C. J., Kang, H. M., Baras, A., Reid, J., Marchini, J., Abecasis, G. R., Ghoussaini, M.",bioRxiv,2025-05-01,,"Rare variant association analysis, which assesses the aggregate effect of rare damaging variants within a gene, is a powerful strategy for advancing knowledge of human biology. Numerous models have been proposed to identify damaging coding variants, with the most recent ones employing deep learning and large language models (LLM) to predict the impact of changes in coding sequences. Here, we use newly available proteomics data on 2,898 proteins across 46,665 individuals to evaluate and refine LLM predictors of damaging variants. Using one of these refined models, we evaluate association between rare damaging variants and human phenotypes at 241 positive control gene-trait pairs. Among these gene-trait pairs, our proteomics-guided model outperforms an ensemble of conventional approaches including PolyPhen2, Mutation Taster, SIFT, and LRT, as well as newer machine learning approaches for identifying damaging missense variants, such as CADD, ESM-1v, ESM-1b and AlphaMissense. When attempting to recover known associations by correctly separating damaging singleton missense variants from other singleton variants, our approach recapitulates 36.5% of gene-trait pairs with known associations, exceeding all the alternatives we considered. Furthermore, when we apply our model to 10 exemplary traits from the UK Biobank, we identify 177 gene-trait associations - again exceeding all other approaches. Our results demonstrate that summary statistics from large-scale human proteomics data enable evaluation and refinement of coding variant classification LLMs, improving discovery potential in human genetic studies.",https://www.biorxiv.org/content/10.1101/2025.04.28.650692v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,Prediction of Antibody Non-Specificity using Protein Language Models and Biophysical Parameters,"Sakhnini, L. I., Beltrame, L., Fulle, S., Sormanni, P., Henriksen, A., Lorenzen, N., Vendruscolo, M., Granata, D.",bioRxiv,2025-05-01,,"The development of therapeutic antibodies requires optimizing target binding affinity and pharmacodynamics, while ensuring high developability potential, including minimizing non-specific binding. In this study, we address this problem by predicting antibody non-specificity by two complementary approaches: (i) antibody sequence embeddings by protein language models (PLMs), and (ii) a comprehensive set of sequence-based biophysical descriptors. These models were trained on human and mouse antibody data from Boughter et al. (2020) and tested on three public datasets: Jain et al. (2017), Shehata et al. (2019) and Harvey et al. (2022). We show that non-specificity is best predicted from the heavy variable domain and heavy-chain complementary variable regions (CDRs). The top performing PLM, a heavy variable domain-based ESM 1v LogisticReg model, resulted in 10-fold cross-validation accuracy of up to 71%. Our biophysical descriptor-based analysis identified the isoelectric point as a key driver of non-specificity. Our findings underscore the importance of biophysical properties in predicting antibody non-specificity and highlight the potential of protein language models for the development of antibody-based therapeutics. To illustrate the use of our approach in the development of lead candidates with high developability potential, we show that it can be extended to therapeutic antibodies and nanobodies.",https://www.biorxiv.org/content/10.1101/2025.04.28.650927v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,LC-Inspector: a simple open-source viewer for targeted hyphenated mass spectrometry analysis,"Fido, M., Hoesli, E., Barazzone, E. C., Zenobi, R., Slack, E.",bioRxiv,2025-05-01,,"The ubiquitousness of hyphenated mass spectrometry techniques across life sciences has made researchers around the world aware of their analytical power. However, the analysis of high-complexity mass spectrometry data remains virtually impossible for non-specialists. LC-Inspector is a standalone graphical user interface application for straightforward analysis of targeted mass spectrometry data, distributed under the MIT license and available free of charge for Windows and MacOS. The user can upload and process the data entirely locally on their machine by specifying the desired mass-to-charge ratios of the targeted compound ions and simply clicking ""Process"". It allows for the processing of multiple files simultaneously, freely modifying and exporting graphs in real time, and calculating compound concentrations based on calibration standards. We show the versatility and applicability of LC-Inspector to different kinds of mass spectrometry data by analyzing a series of publicly available datasets from various samples recorded on instruments from multiple vendors and by different research teams.",https://www.biorxiv.org/content/10.1101/2025.04.28.650946v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,EXPRESSION GRAPH NETWORK FRAMEWORK FOR BIOMARKERDISCOVERY,"Liu, Y., Kannan, K., Huse, J. T.",bioRxiv,2025-05-01,,"Biomarker discovery for complex diseases like cancer hinges on uncovering molecular signatures that capture intricate, interconnected relationships within biological data, a challenge that traditional statistical and machine learning methods often fail to meet due to the complexity of high-dimensional gene expression profiles. To overcome this, we introduce the Expression Graph Network Framework (EGNF), a cutting-edge graph-based approach that integrates graph neural networks (GNNs) with network-based feature engineering to enhance predictive biomarker identification. EGNF constructs biologically informed networks by combining gene expression data and clinical attributes within a graph database, utilizing hierarchical clustering to generate dynamic, patient-specific representations of molecular interactions. Leveraging graph learning techniques, including Graph Convolutional Networks (GCNs) and Graph Attention Networks (GATs), our framework identifies statistically significant and biologically relevant gene modules for classification. Validated across three independent datasets consisting of contrasting tumor types and clinical scenarios, EGNF consistently outperforms conventional machine learning models, achieving superior classification accuracy and interpretability. Notably, it delivers perfect separation between normal and tumor samples while excelling in nuanced tasks such as classifying disease progression and treatment outcome. This scalable, interpretable, and robust framework provides a powerful tool for biomarker discovery, with wide-ranging applications in precision medicine and the elucidation of disease mechanisms across diverse clinical contexts.",https://www.biorxiv.org/content/10.1101/2025.04.28.651033v1?rss=1,"bioinformatics, genomics"
2025-05-01 16:20,Fast and Accurate Peptide - MHC Structure Prediction via an Equivariant Diffusion Model,"Fruehbuss, D., Baakman, C., Teusink, S., Bekkers, E., Jegelka, S., Xue, L. C.",bioRxiv,2025-05-01,,"Accurate modeling of peptide-MHC (Major Histocompatibility Complex) structures is critical for the development of personalized cancer vaccines and T-cell therapies, as MHC proteins present peptides on the cell surface for immune recognition. Here, we introduce MHC-Diff, a specialized SE(3)-equivariant diffusion model leveraging Geometric Deep Learning to predict the 3D C-alpha atom structures of peptide-MHC complexes with high accuracy. Unlike previous deep learning models that generate a single static structure, our probabilistic approach samples multiple diverse candidates, capturing the inherent flexibility of peptide-MHC binding. Validated on the Pandora benchmark and experimental X-ray crystallography data, MHC-Diff achieves sub-angstrom accuracy, outperforming existing methods by a large margin while matching the inference speed of the fastest available techniques. By enabling rapid and highly accurate structure prediction across diverse peptide lengths and MHC alleles, MHC-Diff provides a powerful new tool for accelerating the design of next-generation cancer vaccines and T-cell therapies.",https://www.biorxiv.org/content/10.1101/2025.04.28.650973v1?rss=1,"bioinformatics, genomics"
